nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
        50  2.554972768E-01  2.889088094E-01 -1.811258197E-01 -5.537735225E-02 -4.800365944E-02 -1.160828430E-01  1.460469208E-01 -2.045092908E-01 -1.811258197E-01  2.889088094E-01  2.554972768E-01 
        51  2.540982664E-01  2.895060182E-01 -1.811010540E-01  3.056707287E-02 -3.352578643E-01  7.167535997E-02  3.571387895E-01  4.399661915E-01 -1.811010540E-01  2.895060182E-01  2.540982664E-01 
        52  2.544872165E-01  2.888104618E-01 -1.810965985E-01 -8.617825918E-02 -3.942415266E-01  3.201108301E-01  5.346142641E-01 -1.564211390E+00 -1.810965985E-01  2.888104618E-01  2.544872165E-01 
        53  2.544315457E-01  2.875081003E-01 -1.810851544E-01  4.299647660E-04  2.226680018E-03  5.693052807E-05  2.655481231E-03  2.602719454E-03 -1.810851544E-01  2.875081003E-01  2.544315457E-01 
        54  2.546460629E-01  2.890267670E-01 -1.810784191E-01 -1.129964187E-01 -5.423281402E-01  5.305991220E-01  8.022355276E-01 -2.014025481E+00 -1.810784191E-01  2.890267670E-01  2.546460629E-01 
        55  2.544156909E-01  2.872734070E-01 -1.810772866E-01 -1.325344613E-04 -2.521467180E-04  8.299216944E-08  3.620726730E-04  1.581931822E-04 -1.810772866E-01  2.872734070E-01  2.544156909E-01 
        56  2.544465363E-01  2.878297865E-01 -1.810692698E-01  1.944400398E-02  3.863467066E-02 -2.518701239E-03  4.393021285E-02 -7.648489021E-02 -1.810692698E-01  2.878297865E-01  2.544465363E-01 
        57  2.528588772E-01  2.916477621E-01 -1.810654253E-01  7.730431224E-03 -7.405068420E-02 -1.094215392E-01  1.365650223E-01  1.845103636E+01 -1.810654253E-01  2.916477621E-01  2.528588772E-01 
        58  2.544272840E-01  2.895813286E-01 -1.810617298E-01 -7.806217297E-02 -8.275583994E-01  3.927981453E-01  9.374999782E-01 -1.070939912E-01 -1.810617298E-01  2.895813286E-01  2.544272840E-01 
        59  2.546297014E-01  2.894097865E-01 -1.810604632E-01 -6.857392893E-02 -7.676464060E-01  7.004154563E-01  1.050449903E+00 -1.721879704E+00 -1.810604632E-01  2.894097865E-01  2.546297014E-01 
        60  2.545078993E-01  2.882944047E-01 -1.810592413E-01 -2.348533527E-02  5.563595916E-02  2.224251351E-02  7.317114060E-02 -6.378789283E-01 -1.810592413E-01  2.882944047E-01  2.545078993E-01 
        61  2.548131645E-01  2.892543077E-01 -1.810593009E-01 -4.670476684E-02 -5.734643335E-01  6.660916764E-01  9.043599564E-01 -2.652813323E+00 -1.810593009E-01  2.892543077E-01  2.548131645E-01 
        62  2.542588711E-01  2.896898091E-01 -1.810553968E-01 -9.416925779E-02 -5.398559301E-01  7.907349477E-02  5.608181619E-01  6.615596741E-01 -1.810553968E-01  2.896898091E-01  2.542588711E-01 
        63  2.550642192E-01  2.891792953E-01 -1.810516566E-01 -5.398623367E-02 -1.796085252E-01  3.092817681E-01  3.647794357E-01 -2.653318523E+00 -1.810516566E-01  2.891792953E-01  2.550642192E-01 
        64  2.541165948E-01  2.893153131E-01 -1.810498387E-01  1.096274446E-01 -4.393182591E-01  2.452976250E-01  5.209061808E-01  2.751858717E-01 -1.810498387E-01  2.893153131E-01  2.541165948E-01 
        65  2.540723085E-01  2.898099720E-01 -1.810483634E-01 -5.169842188E-02 -3.260506882E-01 -7.058901763E-02  3.426218827E-01  3.169545249E-01 -1.810483634E-01  2.898099720E-01  2.540723085E-01 
        66  2.542822957E-01  2.890154421E-01 -1.810467839E-01 -3.122122218E-02 -4.593684918E-01  3.224877885E-01  5.634677138E-01 -9.761464457E-01 -1.810467839E-01  2.890154421E-01  2.542822957E-01 
        67  2.527476847E-01  2.916644216E-01 -1.810454726E-01  2.129734365E-02 -6.800794051E-02 -1.018309220E-01  1.276775398E-01  1.815580022E+01 -1.810454726E-01  2.916644216E-01  2.527476847E-01 
        68  2.552753389E-01  2.891162038E-01 -1.810452491E-01 -4.338433853E-02 -6.020599269E-02  5.256600399E-03  1.262871141E-01 -1.439474875E+00 -1.810452491E-01  2.891162038E-01  2.552753389E-01 
        69  2.542755306E-01  2.893691659E-01 -1.810352355E-01 -1.013366172E-03 -6.030399055E-01  3.071032409E-01  7.103190223E-01 -1.376627903E-01 -1.810352355E-01  2.893691659E-01  2.542755306E-01 
        70  2.554219663E-01  2.890813053E-01 -1.810348481E-01 -4.891095532E-02 -2.216032747E-02 -1.141709349E-01  1.386256077E-01 -6.540665691E-01 -1.810348481E-01  2.890813053E-01  2.554219663E-01 
        71  2.528173923E-01  2.918572426E-01 -1.810327172E-01 -2.056502691E-02 -3.749452821E-02 -8.647982117E-02  1.020496504E-01  1.816595242E+01 -1.810327172E-01  2.918572426E-01  2.528173923E-01 
        72  2.527754903E-01  2.915428579E-01 -1.810323894E-01  4.684272990E-02 -1.400021288E-01 -1.046200478E-01  1.860535229E-01  1.825365989E+01 -1.810323894E-01  2.915428579E-01  2.527754903E-01 
        73  2.529416680E-01  2.917454839E-01 -1.810307801E-01 -2.702179429E-02 -3.588723606E-02 -9.735601770E-02  1.083353093E-01  1.856167982E+01 -1.810307801E-01  2.917454839E-01  2.529416680E-01 
        74  2.543983757E-01  2.897734344E-01 -1.810277551E-01 -9.258276001E-02 -7.181584015E-01  1.669451653E-01  7.516236979E-01  7.924603528E-01 -1.810277551E-01  2.897734344E-01  2.543983757E-01 
        75  2.527180612E-01  2.917783558E-01 -1.810265481E-01  1.756396438E-02 -4.191181000E-02 -1.186066351E-01  1.278708350E-01  1.798130920E+01 -1.810265481E-01  2.917783558E-01  2.527180612E-01 
        76  2.555819154E-01  2.890432179E-01 -1.810235083E-01 -2.998299881E-02  2.396331381E-02 -1.843062429E-01  1.894582730E-01 -1.314053648E-01 -1.810235083E-01  2.890432179E-01  2.555819154E-01 
        77  2.529049814E-01  2.915302813E-01 -1.810206473E-01  4.718037484E-02 -1.838589483E-01 -8.682163842E-02  2.173118167E-01  1.858907860E+01 -1.810206473E-01  2.915302813E-01  2.529049814E-01 
        78  2.526021004E-01  2.916862369E-01 -1.810193360E-01  3.446522922E-02 -9.229939533E-02 -9.763658330E-02  1.476463454E-01  1.778319738E+01 -1.810193360E-01  2.916862369E-01  2.526021004E-01 
        79  2.542286515E-01  2.898943722E-01 -1.810191572E-01 -1.134207333E-01 -5.024787077E-01 -2.945790172E-02  5.204658034E-01  7.116708270E-01 -1.810191572E-01  2.898943722E-01  2.542286515E-01 
        80  2.530651689E-01  2.916453481E-01 -1.810138971E-01 -1.135341624E-02 -9.579849269E-02 -7.158212538E-02  1.275458949E-01  1.890002979E+01 -1.810138971E-01  2.916453481E-01  2.530651689E-01 
        81  2.544133663E-01  2.873643935E-01 -1.810137630E-01 -5.381495051E-04 -2.295026937E-04  5.763275917E-05  1.019619884E-03  1.350835014E-03 -1.810137630E-01  2.873643935E-01  2.544133663E-01 
        82  2.539556921E-01  2.896473408E-01 -1.810137480E-01 -4.403770113E-03 -2.182539399E-01 -5.260400857E-02  2.280819486E-01  1.530844483E-01 -1.810137480E-01  2.896473408E-01  2.539556921E-01 
        83  2.541308701E-01  2.891668975E-01 -1.810099781E-01  2.558497868E-02 -4.733292095E-01  3.218378822E-01  5.902318062E-01 -2.754269711E-01 -1.810099781E-01  2.891668975E-01  2.541308701E-01 
        84  2.543963790E-01  2.871606648E-01 -1.810043007E-01 -2.852833557E-04 -2.869018582E-04 -2.004820231E-05  4.262899034E-04  3.847155623E-05 -1.810043007E-01  2.871606648E-01  2.543963790E-01 
        85  2.530189157E-01  2.918367088E-01 -1.809984297E-01 -4.279407673E-02 -4.112763093E-02 -5.822187146E-02  9.147293123E-02  1.862140503E+01 -1.809984297E-01  2.918367088E-01  2.530189157E-01 
        86  2.526825368E-01  2.914259434E-01 -1.809955537E-01  1.029908481E-01 -2.277334056E-01 -5.392242998E-02  2.604938653E-01  1.791581958E+01 -1.809955537E-01  2.914259434E-01  2.526825368E-01 
        87  2.541468740E-01  2.900002003E-01 -1.809944957E-01 -9.729023260E-02 -3.509094100E-01 -9.283875192E-02  3.785449352E-01  2.738152600E-01 -1.809944957E-01  2.900002003E-01  2.541468740E-01 
        88  2.530128360E-01  2.915307879E-01 -1.809942275E-01  7.626050448E-02 -2.417814262E-01 -4.560472279E-02  2.690900091E-01  1.887195919E+01 -1.809942275E-01  2.915307879E-01  2.530128360E-01 
        89  2.543687522E-01  2.899700105E-01 -1.809929907E-01 -1.569908130E-01 -5.883597824E-01  7.326425689E-02  6.230113869E-01  8.323449507E-01 -1.809929907E-01  2.899700105E-01  2.543687522E-01 
        90  2.539699376E-01  2.893293798E-01 -1.809919924E-01  5.301526710E-02 -2.753020601E-01  1.017172138E-01  3.063036397E-01  3.493205236E-01 -1.809919924E-01  2.893293798E-01  2.539699376E-01 
        91  2.540148497E-01  2.899668813E-01 -1.809915453E-01 -3.216915382E-02 -2.526939690E-01 -1.126945780E-01  2.816301220E-01 -2.243999780E-01 -1.809915453E-01  2.899668813E-01  2.540148497E-01 
        92  2.544247806E-01  2.876483798E-01 -1.809873730E-01  5.693828170E-03  1.834252473E-02  4.862595489E-04  2.023908730E-02 -2.109798012E-02 -1.809873730E-01  2.876483798E-01  2.544247806E-01 
        93  2.528039813E-01  2.914159894E-01 -1.809852123E-01  1.366120946E-01 -2.925897084E-01 -2.902571619E-02  3.322140792E-01  1.820516390E+01 -1.809852123E-01  2.914159894E-01  2.528039813E-01 
        94  2.544108927E-01  2.880367637E-01 -1.809790134E-01  1.114356372E-02  6.254328195E-02 -2.984201042E-03  6.470887794E-02 -2.942018841E-01 -1.809790134E-01  2.880367637E-01  2.544108927E-01 
        95  2.538294494E-01  2.894712389E-01 -1.809762716E-01  5.006700707E-02 -1.409024441E-01 -3.005830258E-02  1.600835775E-01  1.089331241E-01 -1.809762716E-01  2.894712389E-01  2.538294494E-01 
        96  2.544227242E-01  2.885245085E-01 -1.809743792E-01 -9.703325250E-02 -1.678114420E-01  1.146800915E-01  2.466063688E-01 -1.305457859E+00 -1.809743792E-01  2.885245085E-01  2.544227242E-01 
        97  2.525866628E-01  2.918278873E-01 -1.809744537E-01  2.637833220E-02 -3.845142070E-02 -1.293139015E-01  1.380959937E-01  1.746813006E+01 -1.809744537E-01  2.918278873E-01  2.525866628E-01 
        98  2.529547215E-01  2.914036214E-01 -1.809723824E-01  1.854585048E-01 -4.139315527E-01  3.523587681E-02  4.646031216E-01  1.842718137E+01 -1.809723824E-01  2.914036214E-01  2.529547215E-01 
        99  2.524695694E-01  2.917650044E-01 -1.809585840E-01  2.173825986E-02 -1.023830760E-01 -6.287816263E-02  1.509786571E-01  1.706830048E+01 -1.809585840E-01  2.917650044E-01  2.524695694E-01 
       100  2.538917363E-01  2.898323834E-01 -1.809543669E-01  1.429491404E-02 -2.161590570E-01 -1.000670657E-01  2.406210740E-01 -3.991027062E-01 -1.809543669E-01  2.898323834E-01  2.538917363E-01 
