nodenumber     x-coordinate     y-coordinate     z-coordinate velocity-magnitude       z-velocity       y-velocity       x-velocity         pressure     z-coordinate     y-coordinate     x-coordinate 
        51  2.546239392E-01  2.875220239E-01 -1.813968632E-01  1.858329012E-03  4.521109515E-04  1.190533115E-03 -1.348570716E-03 -3.003839317E-03 -1.813968632E-01  2.875220239E-01  2.546239392E-01 
        52  2.548641003E-01  2.879033879E-01 -1.813962673E-01  2.000127734E-02  3.404384124E-03  1.067693264E-02 -1.652421512E-02 -2.631880887E-01 -1.813962673E-01  2.879033879E-01  2.548641003E-01 
        53  2.544737756E-01  2.874504924E-01 -1.813946366E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  7.522800361E-03 -1.813946366E-01  2.874504924E-01  2.544737756E-01 
        54  2.544677556E-01  2.873635590E-01 -1.813855320E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  9.889390365E-03 -1.813855320E-01  2.873635590E-01  2.544677556E-01 
        55  2.546586096E-01  2.880559266E-01 -1.813695878E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.371766965E+00 -1.813695878E-01  2.880559266E-01  2.546586096E-01 
        56  2.550893938E-01  2.882611204E-01 -1.813671433E-01  1.156660953E-01 -2.565762265E-02 -7.103988420E-02  3.930165204E-02 -2.401413943E-01 -1.813671433E-01  2.882611204E-01  2.550893938E-01 
        57  2.545668976E-01  2.874314291E-01 -1.813606914E-01  1.084229958E-03  1.688807520E-04  7.358639936E-04 -7.650337188E-04 -1.042068092E-03 -1.813606914E-01  2.874314291E-01  2.545668976E-01 
        58  2.545169900E-01  2.873521970E-01 -1.813576088E-01  1.808976963E-04  4.316254363E-05  1.388933381E-04 -9.113844456E-05 -2.592316762E-05 -1.813576088E-01  2.873521970E-01  2.545169900E-01 
        59  2.545318604E-01  2.876564562E-01 -1.813562661E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.073878785E-02 -1.813562661E-01  2.876564562E-01  2.545318604E-01 
        60  2.550120950E-01  2.884951830E-01 -1.813556105E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -6.986268338E+00 -1.813556105E-01  2.884951830E-01  2.550120950E-01 
        61  2.548663616E-01  2.882746160E-01 -1.813527793E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.809981795E+00 -1.813527793E-01  2.882746160E-01  2.548663616E-01 
        62  2.546892105E-01  2.876256740E-01 -1.813520632E-01  7.512150215E-03  1.426263092E-03  4.688929205E-03 -5.648252986E-03 -4.348341370E-02 -1.813520632E-01  2.876256740E-01  2.546892105E-01 
        63  2.552462518E-01  2.885102332E-01 -1.813519001E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.528915061E+00 -1.813519001E-01  2.885102332E-01  2.552462518E-01 
        64  2.544673085E-01  2.875402272E-01 -1.813176572E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.064829736E-02 -1.813176572E-01  2.875402272E-01  2.544673085E-01 
        65  2.544474006E-01  2.872416973E-01 -1.813104004E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.299009540E-03 -1.813104004E-01  2.872416973E-01  2.544474006E-01 
        66  2.544558696E-01  2.872551443E-01 -1.813064070E-01  1.133991990E-05 -3.988000902E-06 -7.415156490E-06  6.790781882E-06  0.000000000E+00 -1.813064070E-01  2.872551443E-01  2.544558696E-01 
        67  2.550912834E-01  2.882641316E-01 -1.813040606E-01  1.448397888E-01 -2.753399129E-02 -8.586873558E-02  6.746124770E-02 -2.983573470E-01 -1.813040606E-01  2.882641316E-01  2.550912834E-01 
        68  2.552490339E-01  2.885146434E-01 -1.813027769E-01  8.686333377E-02 -2.220839962E-02 -7.636081611E-02  2.747858416E-02  0.000000000E+00 -1.813027769E-01  2.885146434E-01  2.552490339E-01 
        69  2.544659630E-01  2.872711703E-01 -1.813009739E-01  1.777771559E-05 -4.753596064E-06 -9.001244068E-06  1.331068787E-05  0.000000000E+00 -1.813009739E-01  2.872711703E-01  2.544659630E-01 
        70  2.544789376E-01  2.872917715E-01 -1.812964444E-01  6.047280199E-05  4.929430830E-06  4.274746772E-05 -7.715962635E-06 -3.258125499E-06 -1.812964444E-01  2.872917715E-01  2.544789376E-01 
        71  2.545735240E-01  2.878542244E-01 -1.812925935E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -6.913920215E-01 -1.812925935E-01  2.878542244E-01  2.545735240E-01 
        72  2.544527650E-01  2.873637974E-01 -1.812830865E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.057046556E-02 -1.812830865E-01  2.873637974E-01  2.544527650E-01 
        73  2.547980931E-01  2.877985438E-01 -1.812633877E-01  3.056918163E-02  4.443722449E-03  1.808733875E-02 -2.414345933E-02 -5.886688461E-01 -1.812633877E-01  2.877985438E-01  2.547980931E-01 
        74  2.553903162E-01  2.887389660E-01 -1.812551618E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.922069893E+00 -1.812551618E-01  2.887389660E-01  2.553903162E-01 
        75  2.545304461E-01  2.873735477E-01 -1.812517249E-01  1.420507431E-03  1.606443071E-04  9.614293022E-04 -1.017643265E-03 -2.603682053E-03 -1.812517249E-01  2.873735477E-01  2.545304461E-01 
        76  2.551645041E-01  2.887506187E-01 -1.812474579E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.132734559E+01 -1.812474579E-01  2.887506187E-01  2.551645041E-01 
        77  2.552501696E-01  2.885164384E-01 -1.812447334E-01  2.836186099E-01 -7.612402801E-02 -2.325638524E-01  1.409958943E-01  0.000000000E+00 -1.812447334E-01  2.885164384E-01  2.552501696E-01 
        78  2.549332583E-01  2.880132106E-01 -1.812434389E-01  3.346447778E-02 -1.076041955E-03  1.617367763E-02 -2.669945328E-02 -5.988802884E-01 -1.812434389E-01  2.880132106E-01  2.549332583E-01 
        79  2.546106295E-01  2.875008769E-01 -1.812406863E-01  6.790265613E-03  1.040449069E-03  4.494226173E-03 -4.961833056E-03 -3.185506579E-02 -1.812406863E-01  2.875008769E-01  2.546106295E-01 
        80  2.549389303E-01  2.887623012E-01 -1.812397838E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.211807531E+01 -1.812397838E-01  2.887623012E-01  2.549389303E-01 
        81  2.547759414E-01  2.885141969E-01 -1.812370569E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.145024941E+01 -1.812370569E-01  2.885141969E-01  2.547759414E-01 
        82  2.546382248E-01  2.883045375E-01 -1.812347621E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -6.563891940E+00 -1.812347621E-01  2.883045375E-01  2.546382248E-01 
        83  2.544493377E-01  2.874895036E-01 -1.812134236E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.270549596E-03 -1.812134236E-01  2.874895036E-01  2.544493377E-01 
        84  2.553891010E-01  2.887370395E-01 -1.812099277E-01  6.473724154E-02 -4.136213263E-03 -2.981521817E-02 -1.015585981E-02 -4.692159605E-01 -1.812099277E-01  2.887370395E-01  2.553891010E-01 
        85  2.544582784E-01  2.876663506E-01 -1.812094599E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.708968646E-01 -1.812094599E-01  2.876663506E-01  2.544582784E-01 
        86  2.544355392E-01  2.872889638E-01 -1.812046319E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.492820694E-02 -1.812046319E-01  2.872889638E-01  2.544355392E-01 
        87  2.547416091E-01  2.887833416E-01 -1.811772436E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.108322128E+01 -1.811772436E-01  2.887833416E-01  2.547416091E-01 
        88  2.552485890E-01  2.885139189E-01 -1.811764324E-01  4.646834252E-01 -9.499276097E-02 -3.504922399E-01  2.857891611E-01  0.000000000E+00 -1.811764324E-01  2.885139189E-01  2.552485890E-01 
        89  2.544236779E-01  2.872039974E-01 -1.811679453E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  1.170532146E-02 -1.811679453E-01  2.872039974E-01  2.544236779E-01 
        90  2.545608580E-01  2.885637581E-01 -1.811639667E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.725058355E+01 -1.811639667E-01  2.885637581E-01  2.545608580E-01 
